Year,Member State,Region,8 Types of Farming,Economic Size,(SE010) Total labour input (AWU),(SE025) Total Utilised Agricultural Area (ha),(SE080) Total livestock units (LU),(SE131) Total output (€/farm),(SE132) Total output / Total input (ratio),(SE135) Total output crops & crop production (€/farm),(SE136) Total crops output (€/ha),(SE206) Total output livestock & livestock products (€/farm),(SE270) Total Inputs (€),(SE281) Total specific costs (€),(SE284) Specific crop costs (€/ha),(SE285) Seeds and plants (€),(SE295) Fertilisers (€),(SE300) Crop protection (€),(SE305) Other crop specific costs (€),(SE309) Specific livestock costs (€/LU),(SE345) Energy (€),(SE410) Gross Farm Income (€),(SE415) Farm Net Value Added (€),(SE425) Farm Net Value Added (€/AWU),(SE605) Total subsidies - excluding on investments (€)
2019,EU27_2020,(341) Vlaanderen,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.07,22.03,46.83,53771,1,5358,251.76,46175,53805,26816,238.34,1722,2132,1254,144,460.51,3620,17954,11336,10596.5,9923
2019,EU27_2020,(341) Vlaanderen,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,1.68,50.88,138.19,199510,1.1,20790,424.52,166378,180881,101497,350.26,5705,6905,4573,637,571.64,8787,81037,58152,34680.36,24673
2019,EU27_2020,(341) Vlaanderen,(6) Other grazing livestock,(6) >= 500 000 EUR,2.66,109.96,347.85,633238,1.28,136177,1253.79,495184,493805,284195,543.92,22417,17198,18990,1205,645.06,24946,299267,229762,86321.57,50355
2019,EU27_2020,(341) Vlaanderen,(7) Granivores,(4) 50 000 - < 100 000 EUR,1,23.95,54.93,133051,1.24,17100,2310.81,100075,107077,66444,103.39,1180,757,517,23,1164.61,4742,60728,40254,40254.3,10562
2019,EU27_2020,(341) Vlaanderen,(7) Granivores,(5) 100 000 - < 500 000 EUR,1.29,19.86,295.22,332812,1.26,23914,1483.69,296601,263709,189345,486.96,3389,2224,3587,469,604.04,12991,114418,82308,63772.22,7825
2019,EU27_2020,(341) Vlaanderen,(7) Granivores,(6) >= 500 000 EUR,2.02,32.25,936.62,1363907,1.35,55168,1965.09,1290121,1012034,778506,652.87,8477,4068,6977,1531,808.22,35983,489993,390479,193659.25,12090
2019,EU27_2020,(341) Vlaanderen,(8) Mixed,(3) 25 000 - < 50 000 EUR,0.95,17.35,4.59,28404,0.59,27925,1609.5,-3456,48387,11050,511.48,3825,2139,2595,315,434.5,3762,12506,-5613,-5925.52,7840
2019,EU27_2020,(341) Vlaanderen,(8) Mixed,(4) 50 000 - < 100 000 EUR,1.05,36.54,18.62,65810,1.05,43683,1331.14,17465,62628,25251,397.07,6121,4082,4212,93,576.1,4120,28397,17299,16534.12,9661
2019,EU27_2020,(341) Vlaanderen,(8) Mixed,(5) 100 000 - < 500 000 EUR,1.91,55.59,147.55,256085,1.26,88631,1741.45,153675,203403,115474,621.55,12201,8417,11887,2045,510.79,10928,117047,92357,48346.07,21066
2019,EU27_2020,(341) Vlaanderen,(8) Mixed,(6) >= 500 000 EUR,2.81,93.39,624.44,1024614,1.18,155197,1668.92,862289,867097,575805,782.33,31757,17685,20896,2722,803.75,37657,343846,255689,90835.4,32815
2019,EU27_2020,(343) Wallonie,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,0.03,19.86,0,23498,1.37,23498,1183.18,0,17116,6591,331.87,2471,2558,1562,0,-,0,17313,17313,577100,7249
2019,EU27_2020,(343) Wallonie,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,0.95,37.14,7.29,64992,1.13,58990,1588.17,1753,57325,16754,387.8,3636,6048,4615,105,322.34,2827,37681,26265,27681.08,10903
2019,EU27_2020,(343) Wallonie,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,1.19,84.18,7.87,189481,1.19,171147,2037.75,7085,159778,56875,614.83,17925,17800,15116,914,644.74,6549,116295,87663,73732.51,28699
2019,EU27_2020,(343) Wallonie,(1) Fieldcrops,(6) >= 500 000 EUR,1.4,273.29,34.29,691392,1.16,611644,2238.08,61784,596465,240273,685.21,73470,56086,51582,6123,1545.94,13716,331606,278629,198715.95,75631
2019,EU27_2020,(343) Wallonie,(2) Horticulture,(5) 100 000 - < 500 000 EUR,5.88,2.12,0,353131,1.01,353131,166571.23,0,349587,124749,58843.87,58724,6735,7854,51436,-,15034,184822,91688,15598.69,1038
2019,EU27_2020,(343) Wallonie,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,2.06,20.41,0,147669,1.12,143377,7026.15,0,131977,29183,1430.12,0,3296,12645,13241,-,12728,78315,59192,28720.54,8136
2019,EU27_2020,(343) Wallonie,(4) Other permanent crops,(6) >= 500 000 EUR,18.24,52.49,0,1761116,1.45,1671957,31854.89,0,1217998,454176,8653.18,0,14444,71261,368471,-,44947,1041972,923972,50648.32,12289
2019,EU27_2020,(343) Wallonie,(5) Milk,(5) 100 000 - < 500 000 EUR,1.91,70.23,118.22,231104,1.23,11724,166.94,215918,188577,89740,167.2,2896,7129,1579,139,623.1,11165,119906,89794,46931.11,28126
2019,EU27_2020,(343) Wallonie,(5) Milk,(6) >= 500 000 EUR,2.64,130.63,249.15,413639,1.2,20082,153.74,390626,343641,157918,163.75,4668,14260,2408,54,547.96,18127,225960,162034,61372.24,51362
2019,EU27_2020,(343) Wallonie,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,0.72,23.3,24.42,17138,0.63,1587,68.13,15551,27413,8575,31.37,88,644,0,0,321.21,2552,8219,6171,8570.79,15833
2019,EU27_2020,(343) Wallonie,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.24,39.35,50.68,35407,0.72,3793,96.39,31327,49355,19038,72.98,582,1854,426,10,315.21,3092,25384,15117,12210.81,24012
2019,EU27_2020,(343) Wallonie,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,1.75,89.01,146.43,158850,0.95,19994,224.63,134550,166367,87882,164.99,3850,8006,2511,319,465.96,8326,74324,51222,29274.14,44589
2019,EU27_2020,(343) Wallonie,(6) Other grazing livestock,(6) >= 500 000 EUR,3.09,206.33,385.2,507762,1.08,78170,378.85,422349,469037,268401,219.01,10261,24362,10055,510,577.22,19793,227266,174394,56458.98,92817
2019,EU27_2020,(343) Wallonie,(7) Granivores,(5) 100 000 - < 500 000 EUR,0.9,10.94,263.59,147008,1.32,12600,1151.89,134167,110984,64555,200.07,191,982,1007,8,236.61,6161,67339,44913,49761.95,5385
2019,EU27_2020,(343) Wallonie,(7) Granivores,(6) >= 500 000 EUR,2.28,43.92,813.31,1034271,1.2,67420,1534.95,958634,864852,667572,542.78,8188,6426,9196,31,790.22,22476,316981,238180,104595.78,20350
2019,EU27_2020,(343) Wallonie,(8) Mixed,(4) 50 000 - < 100 000 EUR,1.75,33.35,24.31,60706,1.22,32145,963.83,17435,49925,18040,220.28,2905,2596,1804,42,439.9,2465,38529,34040,19459.01,16621
2019,EU27_2020,(343) Wallonie,(8) Mixed,(5) 100 000 - < 500 000 EUR,1.6,77.53,108.68,208284,1.08,92355,1191.53,107931,192797,92475,433.34,10728,12712,9792,364,534.17,9961,93189,66020,41235.67,28597
2019,EU27_2020,(343) Wallonie,(8) Mixed,(6) >= 500 000 EUR,2.29,156.41,337.15,476180,1.11,183963,1176.14,288704,427575,231697,435.63,21544,23698,22398,497,484.85,18814,209109,141187,61783.93,55645
2019,EU27_2020,(740) Cyprus,(1) Fieldcrops,(1) 2 000 - < 8 000 EUR,0.79,5.04,0.01,5646,0.98,5438,1250.01,6,5787,1694,320.22,519,535,438,124,3351.34,1024,3074,2306,2914.86,1996
2019,EU27_2020,(740) Cyprus,(1) Fieldcrops,(2) 8 000 - < 25 000 EUR,1.28,9.25,0.01,13513,1.13,12710,1656.44,46,11963,3732,394.53,1197,1320,1025,108,1029.72,2085,8387,6627,5162.97,3971
2019,EU27_2020,(740) Cyprus,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,1.26,23.55,0.04,21695,1.19,20808,990.23,130,18270,7279,280.38,2648,2552,1213,191,3179.41,2559,17453,15537,12295.64,9252
2019,EU27_2020,(740) Cyprus,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,2.26,54.09,0,55182,0.71,53272,1132.53,0,77656,23474,434.01,9989,9151,4025,308,-,11167,29964,18512,8183.96,18750
2019,EU27_2020,(740) Cyprus,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,3.88,92.44,0,133434,1.07,130684,1558.71,0,124384,39388,425.89,12339,14647,11835,548,-,23422,86390,76253,19661.13,38306
2019,EU27_2020,(740) Cyprus,(1) Fieldcrops,(6) >= 500 000 EUR,8,301.98,0,518023,2.02,518023,1789.93,0,256500,62712,207.67,23413,32514,5524,1261,-,42185,491202,418181,52272.59,109723
2019,EU27_2020,(740) Cyprus,(2) Horticulture,(1) 2 000 - < 8 000 EUR,0.82,0.72,0,3320,0.85,2648,4169.82,0,3915,1947,1453.71,270,164,465,148,-,503,131,-632,-775.13,241
2019,EU27_2020,(740) Cyprus,(2) Horticulture,(2) 8 000 - < 25 000 EUR,0.85,2.45,0,6809,1.03,6748,3109.89,0,6631,1571,636.33,638,374,368,178,-,1420,2441,1278,1506.88,960
2019,EU27_2020,(740) Cyprus,(2) Horticulture,(3) 25 000 - < 50 000 EUR,1.16,3.94,0.04,13047,0.96,12769,3679.94,24,13577,4484,976.82,1862,908,911,171,272.11,1787,5528,2221,1907.47,1445
2019,EU27_2020,(740) Cyprus,(2) Horticulture,(4) 50 000 - < 100 000 EUR,2.15,4.81,0,49541,1.59,49467,15926.24,0,31186,10953,2277.58,3888,2225,2933,1907,-,5592,28805,25643,11909.69,1976
2019,EU27_2020,(740) Cyprus,(2) Horticulture,(5) 100 000 - < 500 000 EUR,5.52,9.57,0.39,123935,1.2,123339,15050.57,595,103144,36767,3807.71,16123,8107,10679,1531,836.32,16429,61334,52788,9563.7,3500
2019,EU27_2020,(740) Cyprus,(2) Horticulture,(6) >= 500 000 EUR,8.19,36.32,0,164240,0.97,164240,5190.9,0,168517,45515,1253.17,40857,4658,0,0,-,40588,89669,84718,10338.94,13545
2019,EU27_2020,(740) Cyprus,(3) Wine,(1) 2 000 - < 8 000 EUR,1.03,3.84,0,8831,1.45,8207,2456.98,0,6096,1741,362.8,7,421,745,220,-,636,8710,7814,7600.03,4315
2019,EU27_2020,(740) Cyprus,(3) Wine,(2) 8 000 - < 25 000 EUR,2.75,7.82,0,162100,1.73,34593,4595.04,0,93842,20660,408.43,57,1161,1429,546,-,2514,137438,127063,46270.45,38884
2019,EU27_2020,(740) Cyprus,(4) Other permanent crops,(1) 2 000 - < 8 000 EUR,0.96,2.62,0,5533,1.1,4631,2419.28,39,5050,1146,426.51,75,428,435,179,-,1068,3229,2350,2447.19,1814
2019,EU27_2020,(740) Cyprus,(4) Other permanent crops,(2) 8 000 - < 25 000 EUR,1.22,4.21,0,10472,1.02,9073,2877.07,140,10255,2418,551.01,291,884,912,234,-,2008,5900,4292,3522.9,3147
2019,EU27_2020,(740) Cyprus,(4) Other permanent crops,(3) 25 000 - < 50 000 EUR,1.44,7.84,0,25244,1.12,24457,3434.67,0,22623,5864,747.73,401,2767,1792,903,-,3796,16524,13291,9242.35,6467
2019,EU27_2020,(740) Cyprus,(4) Other permanent crops,(4) 50 000 - < 100 000 EUR,1.12,6.46,0,11653,0.85,11653,1944.38,0,13709,1880,290.89,0,1026,724,130,-,2129,7616,2029,1819.69,3195
2019,EU27_2020,(740) Cyprus,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,2.4,23.45,0,48824,0.67,48824,2124.61,0,72823,14182,604.76,4524,6455,2762,441,-,10252,27531,25452,10605.15,17666
2019,EU27_2020,(740) Cyprus,(5) Milk,(5) 100 000 - < 500 000 EUR,2,0.32,123.9,296572,1.58,0,-,296572,188226,144538,0,0,0,0,0,1166.62,12941,128091,118050,59025.22,0
2019,EU27_2020,(740) Cyprus,(5) Milk,(6) >= 500 000 EUR,5.08,61.85,260.28,806367,1.21,73482,1203.17,732885,668916,517751,368.48,12581,7063,1587,1559,1884.12,35994,234677,194470,38255.53,14027
2019,EU27_2020,(740) Cyprus,(6) Other grazing livestock,(1) 2 000 - < 8 000 EUR,0.96,2.26,3.03,8087,0.93,1584,701.08,6503,8710,6491,168.36,106,249,11,15,1428.97,714,768,226,236.28,977
2019,EU27_2020,(740) Cyprus,(6) Other grazing livestock,(2) 8 000 - < 25 000 EUR,1.05,3.02,7.19,15671,1.19,1958,701.62,13713,13170,10132,182.14,281,189,30,50,1095.97,909,4465,3797,3618.51,1568
2019,EU27_2020,(740) Cyprus,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,1.48,10.66,16.19,33560,1.28,9132,879.16,24428,26270,19871,202.03,693,843,237,380,991.05,1498,14178,12443,8382.2,4547
2019,EU27_2020,(740) Cyprus,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.43,17.08,29.91,59627,1.11,8479,538.55,51148,53623,40660,195.49,1605,1433,234,66,1120.93,2610,21640,19291,13455.23,9879
2019,EU27_2020,(740) Cyprus,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,2.74,40.56,77.44,156936,1.18,24644,624.93,132176,133073,100150,248.46,6170,3342,448,119,1163.11,6011,61154,53300,19435.59,19756
2019,EU27_2020,(740) Cyprus,(7) Granivores,(2) 8 000 - < 25 000 EUR,0.6,0,0.72,9088,0.98,0,-,9088,9306,5928,-,0,0,0,0,8218.26,630,1955,-412,-685.69,0
2019,EU27_2020,(740) Cyprus,(7) Granivores,(5) 100 000 - < 500 000 EUR,6,0.54,199.62,583031,1.25,33,60.75,582998,464953,278848,0,0,0,0,0,1396.9,43487,198893,160399,26733.14,0
2019,EU27_2020,(740) Cyprus,(7) Granivores,(6) >= 500 000 EUR,4.13,0.54,934.57,939772,1.42,85,158.14,939687,661810,551107,19.54,0,0,0,11,589.68,39002,319791,311281,75431.89,0
2019,EU27_2020,(740) Cyprus,(8) Mixed,(1) 2 000 - < 8 000 EUR,0.74,0.28,0.12,7826,1.8,206,1431.34,7592,4337,1855,124.99,5,15,10,4,1477.26,626,5547,4630,6219.16,1398
2019,EU27_2020,(740) Cyprus,(8) Mixed,(2) 8 000 - < 25 000 EUR,0.96,4.62,1.22,18011,1.55,7086,1684.04,10926,11601,5591,263.75,201,683,282,53,1665.47,1694,11756,10335,10808.57,3517
2019,EU27_2020,(740) Cyprus,(8) Mixed,(3) 25 000 - < 50 000 EUR,1.53,0.24,1.47,32107,1.47,400,1666.67,31707,21815,9639,0,0,0,0,0,1408.71,1737,24602,21414,13973.2,8036
2019,EU27_2020,(740) Cyprus,(8) Mixed,(4) 50 000 - < 100 000 EUR,2,16.18,15.19,11886,0.76,4158,677.2,7728,15551,10627,134.34,333,1095,619,126,549.9,2521,4336,3875,1937.75,6741
2019,EU27_2020,(740) Cyprus,(8) Mixed,(5) 100 000 - < 500 000 EUR,8.3,25.86,59.44,340578,1.31,270294,11798.08,70284,260173,144257,1651.05,26530,6558,9524,84,1646.37,28193,154493,139320,16785.51,17793
2019,EU27_2020,(745) Czechia,(1) Fieldcrops,(2) 8 000 - < 25 000 EUR,1.07,17.05,2.74,21468,1.09,16751,998.61,1636,19664,6669,268.65,1713,1334,1247,285,459.71,2921,11806,7252,6768.1,5152
2019,EU27_2020,(745) Czechia,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,1.51,40.77,2.55,37315,0.95,32321,810.61,1712,39153,12944,271.13,3500,3630,3279,646,591.96,5623,21434,14598,9683.28,11779
2019,EU27_2020,(745) Czechia,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,1.78,68.44,3.96,71736,0.98,65499,965.85,2490,73323,25955,337.48,6303,7790,7666,1337,655.21,9216,41291,27844,15663.3,19937
2019,EU27_2020,(745) Czechia,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,3.17,209.87,8.72,221610,1,205282,996.86,5632,221912,81456,364.28,21884,26361,24715,3491,492.5,24783,136120,106306,33550.42,63168
2019,EU27_2020,(745) Czechia,(1) Fieldcrops,(6) >= 500 000 EUR,20.57,1175.96,89.69,1803915,0.88,1391461,1201.63,107372,2051717,734011,458.26,139634,194781,169480,35006,928.67,163148,942267,734257,35696.94,435870
2019,EU27_2020,(745) Czechia,(2) Horticulture,(2) 8 000 - < 25 000 EUR,5.1,0.78,0,100055,1.8,68053,87246.91,0,55625,5931,7323.72,2037,2014,249,1412,-,6872,77741,75716,14846.2,0
2019,EU27_2020,(745) Czechia,(2) Horticulture,(3) 25 000 - < 50 000 EUR,2.55,1.62,0,32918,1.56,30658,18924.91,0,21075,6467,3631.08,3389,974,857,662,-,2610,18672,11582,4541.81,0
2019,EU27_2020,(745) Czechia,(2) Horticulture,(4) 50 000 - < 100 000 EUR,2.67,2.04,0.03,55233,1.41,52979,25913.52,0,39148,15968,7598.87,11043,1238,1286,1969,402.99,4383,31554,26740,10018.24,5284
2019,EU27_2020,(745) Czechia,(2) Horticulture,(5) 100 000 - < 500 000 EUR,4.51,5.48,0.18,131752,1.31,125840,24435.02,141,100854,42146,7267.4,29504,2301,3041,5016,986.96,5865,83049,72714,16112.62,17216
2019,EU27_2020,(745) Czechia,(2) Horticulture,(6) >= 500 000 EUR,4.58,18.8,0,236599,1.54,232090,12773.25,0,153301,78964,4013.72,58824,3857,4753,8015,-,7879,152560,139967,30575.03,32687
2019,EU27_2020,(745) Czechia,(3) Wine,(2) 8 000 - < 25 000 EUR,0.76,1.94,0,12049,0.9,12049,6210.87,0,13362,1792,923.7,0,740,896,156,-,467,10317,3266,4297.36,2261
2019,EU27_2020,(745) Czechia,(3) Wine,(3) 25 000 - < 50 000 EUR,1.8,4.63,0,59961,1.34,59392,13040.51,0,44623,13980,2985.29,6,544,1908,11370,-,3979,35005,25707,14271.98,3204
2019,EU27_2020,(745) Czechia,(3) Wine,(4) 50 000 - < 100 000 EUR,2.23,9.69,0,58710,1.36,56191,5867.89,0,43119,8436,741.02,116,708,3555,2802,-,4407,35410,24845,11161.82,5586
2019,EU27_2020,(745) Czechia,(3) Wine,(5) 100 000 - < 500 000 EUR,3.48,20.89,0,138397,1.01,135185,6571.61,0,136368,46623,2186.07,190,1153,9568,34745,-,13463,65665,30460,8760.1,12944
2019,EU27_2020,(745) Czechia,(3) Wine,(6) >= 500 000 EUR,5.33,106.49,0,432552,1.07,432552,4294.17,0,403128,160873,1510.68,3529,21426,25750,110168,-,35878,228163,113087,21217.06,57170
2019,EU27_2020,(745) Czechia,(4) Other permanent crops,(2) 8 000 - < 25 000 EUR,1.27,9.52,2.02,22345,1.13,19131,2878.26,2987,19799,2906,231.64,193,359,470,1184,311.03,2528,11129,7182,5643.46,4271
2019,EU27_2020,(745) Czechia,(4) Other permanent crops,(3) 25 000 - < 50 000 EUR,1.93,14.3,0.21,40247,1.07,39160,2792.94,138,37508,6443,447.98,149,1215,2380,2663,170.39,4413,28876,21619,11199.66,12995
2019,EU27_2020,(745) Czechia,(4) Other permanent crops,(4) 50 000 - < 100 000 EUR,1.8,36.04,4.34,62591,0.93,57059,1583.37,1139,67237,18714,355.36,1182,2332,6571,2722,338.41,6695,37873,24290,13522.71,22771
2019,EU27_2020,(745) Czechia,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,6.16,68.85,1.19,226924,1.03,204534,2987.35,2328,219558,43819,378.83,4934,6540,10994,3614,461.81,15223,144760,120642,19580.88,64624
2019,EU27_2020,(745) Czechia,(4) Other permanent crops,(6) >= 500 000 EUR,33.71,219.12,0,897836,0.52,463044,2115.71,0,1736280,339979,1510.1,0,25372,185789,119732,-,156559,250417,115492,3426.16,209217
2019,EU27_2020,(745) Czechia,(5) Milk,(2) 8 000 - < 25 000 EUR,1.28,13.51,8.05,14755,1.37,3229,239.04,11486,10783,5485,73.53,370,351,117,156,557.97,2104,8994,8878,6940.22,4185
2019,EU27_2020,(745) Czechia,(5) Milk,(3) 25 000 - < 50 000 EUR,1.89,21.77,18.58,42979,1.38,11479,527.4,27320,31140,12703,160.59,847,1019,1074,555,495.56,4754,26659,22069,11653.03,10025
2019,EU27_2020,(745) Czechia,(5) Milk,(4) 50 000 - < 100 000 EUR,2.19,47.4,34.82,67693,0.93,14096,299.39,53416,72491,34843,105.17,1393,1179,1400,1013,652.6,7733,40628,26859,12250.75,25843
2019,EU27_2020,(745) Czechia,(5) Milk,(5) 100 000 - < 500 000 EUR,5.29,136.16,100.53,245336,1.02,46428,341.03,186336,241639,99503,136.02,4895,4648,4425,4554,668.25,23962,161069,130322,24649.83,74462
2019,EU27_2020,(745) Czechia,(5) Milk,(6) >= 500 000 EUR,36.22,1054.53,695.35,2211631,0.79,647668,615.01,1265179,2807956,1098659,217.94,69288,76203,65635,18702,962.51,204232,1205954,931054,25705.06,721390
2019,EU27_2020,(745) Czechia,(6) Other grazing livestock,(2) 8 000 - < 25 000 EUR,1.44,33.22,16.02,19489,0.66,7074,215.85,7368,29584,8597,29.96,280,134,91,491,451.46,4312,17316,10555,7336.97,18023
2019,EU27_2020,(745) Czechia,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,1.79,72.54,37.79,34213,0.63,13703,191.34,18727,54579,19440,36.12,736,554,370,961,408.54,7690,36446,24062,13445.67,40122
2019,EU27_2020,(745) Czechia,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,2.82,142.72,72.03,69117,0.62,26829,188.62,34049,112068,34512,33.69,1464,977,1010,1357,375.6,13146,82017,59390,21064.66,83306
2019,EU27_2020,(745) Czechia,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,7.31,511.08,223.05,243399,0.53,79304,156.01,118635,462064,117185,26.89,5130,2256,1349,5009,384.14,45191,290560,231969,31753.15,302201
2019,EU27_2020,(745) Czechia,(6) Other grazing livestock,(6) >= 500 000 EUR,15.49,1015.36,500.74,770957,0.63,314695,309.94,371005,1218939,373810,84.35,30192,26867,18209,10381,509.22,104807,623291,493173,31843.84,555098
2019,EU27_2020,(745) Czechia,(7) Granivores,(2) 8 000 - < 25 000 EUR,0.97,0.77,11.14,12915,0.83,375,487.37,10225,15598,9048,283.32,97,75,45,0,707.29,947,-1422,-2590,-2679.61,234
2019,EU27_2020,(745) Czechia,(7) Granivores,(3) 25 000 - < 50 000 EUR,1.46,7.79,24.93,34004,1.18,5147,661.09,27140,28856,14063,283.53,646,773,650,138,460.88,3554,10845,8009,5485.92,2023
2019,EU27_2020,(745) Czechia,(7) Granivores,(4) 50 000 - < 100 000 EUR,1.3,0,63.61,64019,1.17,0,-,64019,54585,34241,-,0,0,0,0,538.26,7124,12975,9274,7133.74,0
2019,EU27_2020,(745) Czechia,(7) Granivores,(5) 100 000 - < 500 000 EUR,2.38,0.55,187.83,332241,1.01,322,582.83,331207,330022,254577,233.53,45,48,17,19,1353.91,20831,72109,58819,24668.82,34001
2019,EU27_2020,(745) Czechia,(7) Granivores,(6) >= 500 000 EUR,35.66,81.59,3904.6,5460302,0.91,85254,1062.01,5012224,6025012,3815425,496.33,13009,8726,12472,6291,949.26,326076,1303317,937864,26302.74,672387
2019,EU27_2020,(745) Czechia,(8) Mixed,(2) 8 000 - < 25 000 EUR,1.23,16.35,10.11,19745,1.01,8626,527.68,7018,19574,7644,138.23,524,842,560,333,492.56,2771,9284,5833,4760.33,5630
2019,EU27_2020,(745) Czechia,(8) Mixed,(3) 25 000 - < 50 000 EUR,1.53,40.29,17.81,30100,0.8,16462,410.29,9509,37656,14615,138.58,1608,1684,1557,734,495.55,5193,18152,10549,6872.7,16036
2019,EU27_2020,(745) Czechia,(8) Mixed,(4) 50 000 - < 100 000 EUR,1.94,80.68,34.36,64153,0.88,38029,473.52,22225,73124,30109,138.06,3167,3481,3403,1087,529.06,9322,43760,29557,15265.99,32038
2019,EU27_2020,(745) Czechia,(8) Mixed,(5) 100 000 - < 500 000 EUR,3.84,210.23,93.66,228060,0.86,123444,588.09,79633,264566,103524,201.66,10983,14905,13530,2977,558.75,25947,149925,109830,28571.08,95616
