OPIUM_POPPY,0.155061111,0,0.2,0.0191,0.0191,0.875,0,0.85
ORCHARDGRASS_GREEN_CHOP,0.3,0,0.4,0.027,0.022,0.259,0,0.85
ORCHARDGRASS_HAY,0.18,0,0.54,0.015,0.012,0.892,0,0.85
PARSLEY,0.155061111,0,0.2,0.0191,0.0191,0.1,0,0.85
PEA,1.13,0.85,0.19,0.008,0.008,0.9,0,0.85
PEA_GREEN_FRUITS,1.13,0.85,0.19,0.008,0.008,0.125,0,0.85
PEA_GREEN_SEEDS,1.13,0.85,0.19,0.008,0.008,0.21,0,0.85
PEANUT_PODS,1.07,1.54,0.2,0.016,0.014,0.93,0,0.85
PEANUT_SEEDS,1.07,1.54,0.2,0.016,0.014,0.92,0,0.85
PEPPER_GREEN,0.155061111,0,0.2,0.0191,0.0191,0.105,0,0.85
PEPPER_RED,0.155061111,0,0.2,0.0191,0.0191,0.125,0,0.85
PERSIMMON,0.155061111,0,0.2,0.0191,0.0191,0.2,0,0.85
POTATO,0.1,1.06,0.2,0.019,0.014,0.235,0,0.85
PUMPKIN,0.155061111,0,0.2,0.0191,0.0191,0.09,0,0.85
QUINOA,1.09,0.88,0.22,0.006,0.009,0.945,0,0.85
RADISH,0.155061111,0,0.2,0.0191,0.0191,0.06,0,0.85
RAPESEED,1.09,0.88,0.22,0.006,0.009,0.91,0,0.85
RICE,0.95,2.46,0.16,0.007,0,0.94,0,0.85
RICE_MILLED,0.95,2.46,0.16,0.007,0,0.875,0,0.85
RYE,1.09,0.88,0.22,0.005,0.011,0.87,0,0.85
RYE_HAY,0.18,0,0.54,0.015,0.012,0.926,0,0.85
RYEGRASS_HAY,0.18,0,0.54,0.015,0.012,0.873,0,0.85
SAFFLOWER,0.155061111,0,0.2,0.0191,0.0191,0.92,0,0.85
SORGHUM_GRAIN,0.88,1.33,0.22,0.007,0.006,0.875,0,0.85
SORGHUM_GREEN,0.88,1.33,0.22,0.007,0.006,0.2,0,0.85
SORGHUM_SILAGE,0.88,1.33,0.22,0.007,0.006,0.26,0,0.85
SOYBEAN,0.93,1.35,0.19,0.008,0.008,0.875,0,0.85
SPINACH,0.155061111,0,0.2,0.0191,0.0191,0.09,0,0.85
SQUASH_INMATURE,0.155061111,0,0.2,0.0191,0.0191,0.055,0,0.85
SQUASH_MATURE,0.155061111,0,0.2,0.0191,0.0191,0.14,0,0.85
STRAWBERRY,0.155061111,0,0.2,0.0191,0.0191,0.09,0,0.85
SUGARBEET_ROOT,0.1,1.06,0.2,0.019,0.014,0.21,0,0.85
SUGARBEET_ROOT_CROWN,0.1,1.06,0.2,0.019,0.014,0.2,0,0.85
SUNFLOWER_OIL,1.09,0,0.22,0.006,0.009,0.915,0,0.85
SUNFLOWER_SEED,1.09,0,0.22,0.006,0.009,0.915,0,0.85
SWEET_CORN_DRY,1.03,0.61,0.22,0.006,0.009,0.905,0,0.85
SWEET_CORN_FRESH,1.03,0.61,0.22,0.006,0.009,0.35,0,0.85
SWEETCLOVER_HAY,0.3,0,0.4,0.027,0.022,0.896,0,0.85
TIMOTHY_HAY,0.18,0,0.54,0.015,0.012,0.905,0,0.85
TOBACCO_BURLEY,0.155061111,0,0.2,0.0191,0.0191,0.75,0,0.85
TOBACCO_FLUE,0.155061111,0,0.2,0.0191,0.0191,0.08,0,0.85
TOMATO,0.155061111,0,0.2,0.0191,0.0191,0.06,0,0.85
TREFOIL_HAY,0.3,0,0.4,0.027,0.022,0.9,0,0.85
TRITICALE,1.09,0.88,0.22,0.006,0.009,0.89,0,0.85
TURNIP_GREEN_CROP,0,0,0,0.019,0,0.135,0,0.85
VETCH_GREEN_FLOWERING,1.13,0.85,0.19,0.008,0.008,0.25,0,0.85
VETCH_HAIRY_HAY,1.13,0.85,0.19,0.008,0.008,0.879,0,0.85
VETCH_HAY,1.13,0.85,0.19,0.008,0.008,0.878,0,0.85
VETCH_HAY_FLOWERING,1.13,0.85,0.19,0.008,0.008,0.85,0,0.85
WATERMELON,0.155061111,0,0.2,0.0191,0.0191,0.09,0,0.85
WHEAT_BREAD_HARD,1.51,0.52,0.24,0.006,0.007,0.875,0,0.9
WHEAT_BREAD_SOFT,1.51,0.52,0.24,0.006,0.007,0.875,0,0.9
WHEAT_DURUM,1.09,0.88,0.22,0.006,0.007,0.875,0,0.9
WHEATGRASS_HAY,0.18,0,0.54,0.015,0.012,0.916,0,0.9
,,,,,,,0,
,,,,,,,0,
ALMOND,0,0,0,0.015166667,0.013166667,0.85,0,0.8
APPLE,0,0,0,0.015166667,0.013166667,0.18,0,0.8
APRICOT,0,0,0,0.015166667,0.013166667,0.14,0,0.8
AVOCADO,0,0,0,0.015166667,0.013166667,0.27,0,0.8
CHERRY,0,0,0,0.015166667,0.013166667,0.19,0,0.8
FIG,0,0,0,0.015166667,0.013166667,0.21,0,0.8
GRAPE_TABLE,0,0,0,0.015166667,0.013166667,0.19,0,0.8
GRAPE_WINE,0,0,0,0.015166667,0.013166667,0,0,0.8
GRAPEFRUIT,0,0,0,0.015166667,0.013166667,0.11,0,0.8
HAZELNUT,0,0,0,0.015166667,0.013166667,0.945,0,0.8
KIWI,0,0,0,0.015166667,0.013166667,0.17,0,0.8
LEMON,0,0,0,0.015166667,0.013166667,0.13,0,0.8
OLIVE,0,0,0,0.015166667,0.013166667,0.5,0,0.8
ORANGE,0,0,0,0.015166667,0.013166667,0.18,0,0.8
PEACH,0,0,0,0.015166667,0.013166667,0.12,0,0.8
PEAR,0,0,0,0.015166667,0.013166667,0.18,0,0.8
PLUM,0,0,0,0.015166667,0.013166667,0.15,0,0.8
POMEGRANATE,0,0,0,0.015166667,0.013166667,0.25,0,
QUINCE,0,0,0,0.015166667,0.013166667,0.16,0,0.8
WALNUT,0,0,0,0.015166667,0.013166667,0.93,0,0.8
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
COVER_CROP_LEGUMES_100,0.29,0,0.4,0.027,0.019,,0,0.8
COVER_CROP_LEGUMES_30,0.3,0,0.8,0.025,0.016,,0,0.8
COVER_CROP_GRASS,0.3,0,0.54,0.015,0.012,,0,0.8
TEMPORARY_LEGUMES,0.29,0,0.4,0.027,0.019,,0,0.8
TEMPORARY_MIXED,0.3,0,0.8,0.025,0.016,,0,0.8
TEMPORARY_GRASS,0.3,0,0.54,0.015,0.012,,0,0.8
FALLOW_5_YEARS,,,,,,,0,0.8
PASTURE_<30YERAS,0.3,0,0.8,0.015,0.012,,0,0.8
PASTURE_>30YERAS,0.3,0,0.8,0.015,0.012,,0,0.8
PASTURE_ORCHARD,0.3,0,0.8,0.015,0.012,,0,0.8
