crop_type;group;English name;Latin name;Spanish name;Part harvested;n_fix_code;cycle_crop;HI_est;Residues left in field (%);dm_h%;Nc_h (%);Pc_h (%);Kc_h (%);Cc_h (%);Cac_h (%);Mgc_h (%);Sc_h (%);Residues;dm_r%;Nc_r (%);Pc_r;Kc_r;Cc_r (%);Cac_r;Mgc_r;Sc_r
LEMON;Fruit trees. vines and shrubs;Lemon;Citrus limon;Limón;Fruit;Non_legume;Perennial;60;100;13;1,5;0,12;1,15;;0,026;0,008;0;;0;0;0;0;;;;
LENTIL;Legumes;Lentil;Lens esculenta Moench;Lenteja;Grain;Legume;Annual;35;100;89;4,3;0,43;0,86;;0,035;0,047;0;Straw;91;1,1;0,14;1,15;;;;
LETTUCE_ICEBERG;Horticultural crops;Lettuce Iceberg;Lactuca sativa L.;Lechuga iceberg;Leaves;Non_legume;Annual;90;100;5;2,55;0,5;2;;0,018;0,007;0;;5;2,55;0,5;2;;;;
LETTUCE_ROMAN;Horticultural crops;Lettuce Roman;Lactuca sativa L.;Lechuga romana;Leaves;Non_legume;Annual;90;100;6;4,27;0,75;6,67;;0,033;0,014;0;;6;4,27;0,75;6,67;;;;
MAIZE_SILAGE;Forages;Maize;Zea mays L.;Maíz;Silage;Non_legume;Annual;90;100;30;1,25;0,5;1,2;;0,005;0,133;0;;30;1,25;0,5;1,2;;;;
MANGO;Fruit trees. vines and shrubs;Mango;Mangifera indica;Mango;Fruit;Non_legume;Perennial;60;100;18;0,5;0,11;0,95;;0,011;0,01;0;;0;0;0;0;;;;
MELON;Horticultural crops;Melon;Cucumis melo L.;Melón;Fruit;Non_legume;Annual;60;100;12;0,9;0,16;2,58;;0,009;0,012;0;;90;5;1,8;5;;;;
MILLET_FINGER;Cereals & pseudocereals;Millet (finger);Setaria italica L.;Mijo (dedo);Grain;Non_legume;Annual;40;10;90;2,2;0,34;0,35;;0,008;0,114;0;Stover;92;0,67;0,5;3,2;;;;
MILLET_FOXTAIL_SILAGE;Forages;Millet-Foxtail (silage);Setaria italica;Mijo-cola de zorra (ensilaje);Biomass;Non_legume;Annual;90;100;27,6;1,59;0,18;1,94;;;;;;27,6;1,59;0,18;1,94;;;;
MILLET_PEARL;Cereals & pseudocereals;Millet (pearl);Pennisetum glaucum L.;Mijo (perla);Grain;Non_legume;Annual;40;10;89,5;2;0,38;0,39;;0,008;0,114;0;Stover;91,5;0,8;0,04;1,6;;;;
MILLET_PROSO;Cereals & pseudocereals;Millet (proso);Panicum miliaceum L.;Mijo (proso);Grain;Non_legume;Annual;40;10;90,5;2,3;0,34;0,48;;0,008;0,114;0;Stover;92;0,8;0,5;3,2;;;;
MLLET_PEARL_SILAGE;Forages;Millet-Pearl (silage);Pennisetum glaucum;Mijo-Perla (ensilaje);Biomass;Non_legume;Annual;90;100;21,6;1,54;0,26;1,63;;;;;;21,6;1,54;0,26;1,63;;;;
MUSCK_MELON;Horticultural crops;Musk melon;Cucumis melo L.;Melón almizclero;Fruit;Non_legume;Annual;60;100;10;1,5;0,36;3,16;;0,009;0,012;0;;90;5;1,8;5;;;;
OAT;Cereals & pseudocereals;Oat;Avena sativa L.;Avena;Grain;Non_legume;Annual;40;10;91;1,6;0,36;0,44;;0,054;0,177;0;Straw;89,5;0,7;0,1;2,3;;;;
OAT_HAY;Forages;Oat (hay);Avena sativa L.;Avena (heno);Biomass;Non_legume;Annual;90;100;89,8;1,37;0,24;1,26;;;;;;89,8;1,37;0,24;1,26;;;;
OILPALM;Fruit trees. vines and shrubs;Oil palm;Elaeis guineensis;Aceite de palma;Fruit bunch;Non_legume;Perennial;60;100;79;1,25;0,09;0,75;;0;0;0;;0;0;0;0;;;;
OLIVE;Fruit trees. vines and shrubs;Olive;Olea europaea;Aceituna;Fruit;Non_legume;Perennial;60;100;50;0,3;0,14;1,25;;0,052;0,011;0;;0;0;0;0;;;;
ONION;Horticultural crops;Onion;Allium cepa L.;Cebolla;Bulb;Non_legume;Annual;70;0;10;2,2;0,35;1,2;;0,023;0,01;0;Shoot;8;4;0,38;2,75;;;;
ORANGE;Fruit trees. vines and shrubs;Orange;Citrus sinensis;Naranja;Fruit;Non_legume;Perennial;60;100;18;1,2;0,14;1,35;;0,04;0,01;0;;0;0;0;0;;;;
ORCHARDGRASS_GREEN_CHOP;Forages;Orchardgrass (green chop) ;Dactylis glomerata L.;Hierba huerta (chuleta verde);Biomass;Non_legume;Annual;90;100;25,9;2,37;0,18;2,64;;;;;;25,9;2,37;0,18;2,64;;;;
ORCHARDGRASS_HAY;Forages;Orchardgrass (hay);Dactylis glomerata L.;Orchardgrass (heno);Biomass;Non_legume;Annual;90;100;89,2;1,71;0,25;2,64;;;;;;89,2;1,71;0,25;2,64;;;;
PARSLEY;Horticultural crops;Parsley;Petroselinum crispum (Mill.) Fuss;Perejil;Leaves;Non_legume;Annual;80;100;10;3,5;0,4;2,7;;0,138;0,05;0;;10;3,5;0,4;2,7;;;;
PEA;Legumes;Pea;Pisum sativum L.;Guisante;Seed;Legume;Annual;35;100;90;4,2;0,48;1,3;;0,036;0,056;0;Straw;88,5;1,3;0,3;1,2;;;;
PEA_GREEN_FRUITS;Horticultural crops;Pea (green);Pisum sativum L.;Guisante (verde);Fruits;Legume;Annual;35;100;12,5;3;1,4;2,2;;0,037;0,049;0;Straw;25;2;1,4;2,2;;;;
PEA_GREEN_SEEDS;Horticultural crops;Pea (green);Pisum sativum L.;Guisante (verde);Seeds;Legume;Annual;35;100;21;4,4;1,4;2,2;;0,036;0,056;0;Straw;25;2;1,4;2,2;;;;
PEACH;Fruit trees. vines and shrubs;Peach;Prunus persica;Melocotón;Fruit;Non_legume;Perennial;60;100;12;1;0,12;1,55;;0,006;0,009;0;;0;0;0;0;;;;
PEANUT_PODS;Legumes;Peanut (pods);Arachis hypogaea L.;Maní. cacahuete ;Fruits;Legume;Perennial;35;100;93;4,25;0,35;0,56;;0,058;0,178;0;Straw;90,5;1,65;1,3;3,6;;;;
PEANUT_SEEDS;Legumes;Peanut (seeds);Arachis hypogaea L.;Maní. cacahuete;Seeds;Legume;Perennial;35;100;92;4,85;0,388;0,744;;0,106;0,188;0;Residues;90,5;1,65;1,3;3,6;;;;
PEAR;Fruit trees. vines and shrubs;Pear;Pyrus communis;Pera;Fruit;Non_legume;Perennial;60;100;18;0,4;0,07;0,77;;0,009;0,006;0;;0;0;0;0;;;;
PEPPER_GREEN;Horticultural crops;Pepper green;Capsicum annuum L.;Pimienta verde;Fruit;Non_legume;Annual;60;100;8;4,75;1,25;5,75;;0,014;0,017;0;Residues;8;4,75;1,25;5,75;;;;
PEPPER_RED;Horticultural crops;Pepper red;Capsicum annuum L.;Pimienta roja;Fruit;Non_legume;Annual;60;100;8;4,75;1,25;5,75;;0,014;0,017;0;Residues;8;4,75;1,25;5,75;;;;
PERSIMMON;Fruit trees. vines and shrubs;Persimmon;Dyospiros kaki;Caqui;Fruit;Non_legume;Perennial;60;100;20;0,55;0,07;1,01;;0,027;0;0;;20;0,55;0,07;1,01;;;;
PLUM;Fruit trees. vines and shrubs;Plum;Prunus domestica;Ciruela;Fruit;Non_legume;Perennial;60;100;15;0,85;0,07;1,16;;0,007;0,005;0;;0;0;0;0;;;;
POMEGRANATE;Fruit trees. vines and shrubs;Pomegranate;Punica granatum;Granada;Fruit;Non_legume;Perennial;60;100;25;0,6;0,1;1,04;;0,01;0,012;0;;0;0;0;0;;;;
POTATO;Roots. tubers & bulbs;Potato;Solanum tuberosum;Patata;Tuber;Non_legume;Annual;70;100;23,5;1,6;0,25;2;;0,012;0,023;0;Shoot;51;2,2;0,2;3,95;;;;
PUMPKIN;Horticultural crops;Pumpkin;Cucurbita spp.;Calabaza;Fruit;Non_legume;Annual;60;100;9;2,6;0,39;2,78;;0,021;0,012;0;Residues;10;3,2;1,5;4,6;;;;
QUINCE;Fruit trees. vines and shrubs;Quince;Cydonia oblonga;Membrillo;Fruit;Non_legume;Perennial;60;100;16;0,54;0,1;0,95;;0,011;0,008;0;;0;0;0;0;;;;
QUINOA;Cereals & pseudocereals;Quinoa;Chenopodium quinoa L.;Quinua;Seed;Non_legume;Annual;40;10;88;2,43;0,41;1,12;;0,047;0,197;0;;88;2,3;0,5;0,6;;;;
RADISH;Horticultural crops;Radish;Raphanus sativus L.;Rábano;Root;Non_legume;Annual;60;100;6;1,6;0,4;3,17;;0,025;0,01;0;Residues;6;3,3;1,4;2,2;;;;
RAPESEED;Sugar. oil & fiber crops;Rapeseed;Brassica napus L.;Colza;Grain;Non_legume;Annual;35;100;91;3,9;0,62;0,98;;;;;Residues;82,5;0,8;0,1;0,8;;;;
RICE;Cereals & pseudocereals;Rice;Oryza sativa L.;Arroz;Grain;Non_legume;Annual;40;10;94;1,33;0,29;0,28;;0,028;0,025;0;Straw;86;0,7;0,4;2,4;;;;
RICE_MILLED;Cereals & pseudocereals;Rice (milled);Oryza sativa L.;Arroz (molido);Grain;Non_legume;Annual;40;10;87,5;1,4;0,3;0,45;;0,057;0,781;0;Straw;90;0,7;0,09;1,5;;;;
RYE;Cereals & pseudocereals;Rye;Secale cereale L.;Centeno;Grain;Non_legume;Annual;40;10;87;2,2;0,38;0,52;;0,024;0,11;0;Straw;90,5;0,5;0,09;0,97;;;;
RYE_HAY;Forages;Rye (hay);Secale cereale L.;Centeno (heno);Biomass;Non_legume;Annual;90;100;92,6;1,21;0,22;1,24;;;;;Residues;92,6;1,21;0,22;1,24;;;;
RYEGRASS_HAY;Forages;Ryegrass-Perennial (hay) ;Lolium perenne ssp. perenne;Césped-Perenne (heno);Biomass;Non_legume;Annual;90;100;87,3;1,5;0,8;2,7;;;;;Residues;87,3;1,5;0,8;2,7;;;;
SAFFLOWER;Sugar. oil & fiber crops;Safflower;Carthamus tinctorius L.;Cártamo;Seed;Non_legume;Annual;35;100;92;2,7;0,25;0,687;;0,078;0,353;0;Residues;90;3,3;1,5;2,1;;;;
SORGHUM_GRAIN;Cereals & pseudocereals;Sorghum Grain;Sorghum bicolor L.;Sorgo;Grain;Non_legume;Annual;40;100;87,5;1,9;0,33;0,39;;0,013;0,165;0;Stover;92;0,7;0,13;0,73;;;;
SORGHUM_GREEN;Forages;Sorghum Green;Sorghum bicolor L.;Sorgo;Green;Non_legume;Annual;;100;20;1,37;0,3;1;;;;;;20;1,37;0,3;1;;;;
SORGHUM_SILAGE;Cereals & pseudocereals;Sorghum Silage;Sorghum bicolor L.;Sorgo;Silage;Non_legume;Annual;90;100;26;1;0,278;0,324;;0,012;0,123;0;;26;1;0,278;0,324;;;;
SOYBEAN;Legumes;Soybean;Glycine soja L.;Soja;Grain;Legume;Annual;40;100;87,5;6,5;0,66;1,5;;0,067;0,072;0;Residues;89;0,85;0,06;0,57;;;;
SPINACH;Horticultural crops;Spinach;Spinacia oleracea;Espinacas;Leaves;Non_legume;Annual;90;100;9;5,2;0,56;5,66;;0,099;0,079;0;;9;5,2;0,56;5,66;;;;
SQUASH_INMATURE;Horticultural crops;Squash (immature);Cucurbita pepo L.;Calabaza (inmadura);Fruit;Non_legume;Annual;60;100;5,5;3,2;0,4;3,5;;0,021;0,012;0;Residues;5;3,2;1,5;4,6;;;;
SQUASH_MATURE;Horticultural crops;Squash (mature);Cucurbita pepo L.;Calabaza (madura);Fruit;Non_legume;Annual;60;100;14;3,2;0,4;3,5;;0,021;0,012;0;;5;3,2;1,5;4,6;;;;
STRAWBERRY;Horticultural crops;Strawberry;Fragaria L.;Fresa;Fruit;Non_legume;Annual;40;100;9;1,35;0,024;0,153;;0,016;0,013;0;;9;4,2;1,5;6;;;;
SUFLOWER_SEED;Sugar. oil & fiber crops;Sunflower (seed);Helianthus annuus L.;Girasol (semilla);Seed;Non_legume;Annual;35;100;91,5;3,2;0,63;0,72;;0,078;0,325;;Residues;87;0,8;0,14;2,52;;;;
SUGARBEET_ROOT;Sugar. oil & fiber crops;Sugar beet root w/o crown;Beta vulgaris var. saccharífera L.;Remolacha azucarera;Root w/o crown;Non_legume;Annual;70;100;21;1,05;0,25;1,54;;0,016;0,023;0;Residues;18;2,3;0,22;5,8;;;;
SUGARBEET_ROOT_CROWN;Sugar. oil & fiber crops;Sugar beet root with crown;Beta vulgaris var. saccharífera L;Remolacha azucarera;Root with crown;Non_legume;Annual;70;100;20;1,3;0,32;2,46;;0,016;0,023;0;Residues;18;2,3;0,44;6,26;;;;
SUGARCANE;Sugar. oil & fiber crops;Sugarcane;Saccharum officinarum L.;Caña de azúcar;Tops;Non_legume;Perennial;70;100;25;0,13;0,01;0,2;;0,001;0;0;Residues;26;0,41;0,07;0,12;;;;
SUNFLOWER_OIL;Sugar. oil & fiber crops;Sunflower (oil);Helianthus annuus L.;Girasol (aceite);Seed;Non_legume;Annual;35;100;91,5;2,95;1,8;1,7;;0;0;0;Residues;87;1;0,3;5,2;;;;
SWEET_CORN_DRY;Horticultural crops;Sweet corn dry;Zea mays L.;Maíz dulce seco;Grain;Non_legume;Annual;50;100;90,5;2;0,092;0,252;;0,002;0,031;0;Stover;87;0,97;0,1;1,5;;;;
SWEET_CORN_FRESH;Horticultural crops;Sweet corn fresh;Zea mays L.;Maíz dulce fresco;Grain;Non_legume;Annual;50;100;35;1,6;0,089;0,27;;0,002;0,037;0;Stover;87;0,97;0,1;1,5;;;;
SWEET_POTATO;Roots. tubers & bulbs;Sweet potato;Ipomoea batatas;Batata;Tuber;Non_legume;;70;100;65;1,1;0,28;1,7;;0,017;0,021;0;;65;0,6;0,2;1,1;;;;
