,EF3 (kg N2O-N/kg nitrogen excreted),Methane emissions from storage : MCF values (%) by temperature (annual average),,,,,,,,,,,,,,,,,,
Anaerobic digester high leakage. high quality gas tight storage,0.000600000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000,0.095900000000
Anaerobic digester high leakage. low quality gas tight storage,0.000600000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000,0.108500000000
Anaerobic digester high leakage. open storage,0.000600000000,0.121400000000,0.121400000000,0.121400000000,0.121400000000,0.121400000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.129700000000,0.131700000000,0.131700000000,0.131700000000
Cattle and swine deep bedding-no mixing. <1 month,0.010000000000,0.027500000000,0.027500000000,0.027500000000,0.027500000000,0.027500000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.180000000000,0.180000000000,0.180000000000
Cattle and swine deep bedding-no mixing. >1 month,0.010000000000,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.705000000000,0.705000000000,0.705000000000
Cattle and swine deep bedding-active mixing. < 1 month,0.070000000000,0.027500000000,0.027500000000,0.027500000000,0.027500000000,0.027500000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.065000000000,0.180000000000,0.180000000000,0.180000000000
Cattle and swine deep bedding-active mixing. > 1 month,0.070000000000,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.705000000000,0.705000000000,0.705000000000
Composting In-vessel,0.006000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000
Composting Static Pile,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.025000000000,0.025000000000,0.025000000000
Composting intensive windrow,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.015000000000,0.015000000000,0.015000000000
Composting passive windrow,0.005000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.025000000000,0.025000000000,0.025000000000
Poultry manure with litter,0.001000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000
Poultry without litter,0.001000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000
Aerobic treatment - natural aeration systems,0.010000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
Aerobic treatment -  Forced aeration systems,0.005000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
Excreted on fields. sun dried dung are burned for fuel,0.000000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000
